RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blank,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
11.3,55.05409,54.04682,[M+H]+,TRUE,,C4H6,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,832,[],TRUE,646,0,846,802,776,754,832,828,872,962,900,1046,890
15.02,55.05409,54.04681,[M+H]+,TRUE,,C4H6,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,0,[],TRUE,862,0,896,0,0,0,3194,898,0,0,0,0,0
19.22,55.0541,54.04683,[M+H]+,TRUE,,,,,,1210,[],TRUE,1096,1198,1016,1226,0,1198,1370,1210,1296,1438,9186,1148,1580
19.66,55.05411,54.04684,[M+H]+,TRUE,,,,,,1302,[],TRUE,478,898,1446,7652,1284,1302,1360,1274,1394,1628,1218,1544,0
18.39,55.05413,54.04685,[M+H]+,TRUE,,C4H6,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,830,[],TRUE,0,1022,0,852,0,822,940,804,4198,854,894,830,0
5.96,55.05421,54.04694,[M+H]+,TRUE,,C4H6,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,,484,[],TRUE,206,0,1478,454,668,418,746,750,438,0,2600,484,904
9.24,55.05437,54.04709,[M+H]+,TRUE,,C4H6,"SmartFormula - mzdev: 0.0001 mSigma: Infinity, ",20000,,282,[],TRUE,282,240,0,392,386,192,440,440,770,0,0,310,0
19.99,55.93361,109.85266,[M+H+H]2+,TRUE,,,,,,3222,[],TRUE,3370,3222,4674,4602,6282,0,0,0,5774,0,0,6196,0
18.22,55.93397,54.9267,[M+H]+,FALSE,,,,,,1010,[],TRUE,0,848,0,930,1248,1712,1432,1522,1290,1030,0,942,1010
0.79,55.93413,54.92686,[M+H]+,TRUE,,,,,,11352,[],TRUE,13800,10024,10912,12916,11352,0,14640,0,13620,13072,13868,0,0
11.97,55.93419,54.92692,[M+H]+,TRUE,,,,,,0,[],TRUE,0,0,0,0,0,0,0,0,1034,0,0,0,0
0.06,55.93419,54.92691,[M+H]+,TRUE,,,,,,0,[],TRUE,0,0,15482,0,0,0,0,0,0,0,0,0,0
0.79,55.93419,109.85382,[M+H+H]2+,TRUE,,,,,,0,[],TRUE,0,0,0,0,0,11632,0,17352,0,0,0,12974,14296
19.99,55.9342,54.92692,[M+H]+,TRUE,,,,,,4584,[],TRUE,4584,0,0,5894,4470,4956,4798,5052,4650,4568,4196,3896,5268
0.06,55.93421,109.85387,[M+H+H]2+,TRUE,,,,,,18364,[],TRUE,8046,17862,0,16944,16510,18364,13110,22046,19600,20996,20398,20426,19996
0.36,55.93421,54.92693,[M+H]+,TRUE,,,,,,8810,[],TRUE,5538,6124,12974,6912,6970,8510,7670,9772,9786,9504,8810,9592,9068
1.03,55.93421,54.92694,[M+H]+,TRUE,,,,,,6616,[],TRUE,5242,0,5366,7500,0,0,0,8686,6866,7152,6616,8142,7562
1.09,55.93421,109.85386,[M+H+H]2+,TRUE,,,,,,7602,[],TRUE,5224,5244,6392,6410,6094,6448,7884,8394,8810,9504,7700,18516,7602
19.8,55.94506,54.93778,[M+H]+,FALSE,,,,,,660,[],TRUE,660,654,822,524,570,738,970,618,762,890,670,610,552
5.47,56.94175,55.93448,[M+H]+,TRUE,,,,,,0,[],TRUE,468,460,0,0,304,0,0,0,0,0,722,362,0
19.65,56.94187,55.9346,[M+H]+,TRUE,,,,,,828,[],TRUE,294,640,0,828,0,876,1092,1552,1280,1108,954,0,0
4.25,56.94196,55.93468,[M+H]+,TRUE,,,,,,0,[],TRUE,432,0,0,0,0,956,0,746,756,746,0,778,0
19.98,56.94201,55.93473,[M+H]+,TRUE,,,,,,2142,[],TRUE,2470,2378,2588,2388,2092,2000,2142,2222,2732,2002,1836,1802,1780
0.28,56.94206,111.86957,[M+H+H]2+,TRUE,,,,,,5832,[],TRUE,3996,4158,5642,5348,5832,5190,5650,6108,5924,6052,6940,6774,7044
0.07,56.94208,55.9348,[M+H]+,TRUE,,,,,,0,[],TRUE,0,0,6614,0,0,7614,0,0,0,0,0,0,0
0.06,56.9421,111.86965,[M+H+H]2+,TRUE,,,,,,7058,[],TRUE,2986,5568,0,7058,5168,0,5618,7368,7088,7946,7912,7448,7620
19.98,56.96445,55.95718,[M+H]+,TRUE,,,,,,5362,[],TRUE,4538,4772,4928,5362,5624,5784,6358,6822,6030,5176,6396,4762,5160
0.84,56.96459,55.95732,[M+H]+,TRUE,,,,,,1500,[],TRUE,774,962,1388,1280,1432,2408,1844,1620,2010,1570,1412,1500,1552
0.63,56.96464,55.95737,[M+H]+,TRUE,,,,,,1456,[],TRUE,258,1006,1184,1852,1588,1456,1774,2182,1438,3184,1166,1804,1374
19.24,57.03233,56.02505,[M+H]+,FALSE,,C3H4O,"SmartFormula - mzdev: -0.0012 mSigma: Infinity, ",20000,,1074,[],TRUE,926,974,984,1050,868,972,1132,1166,1270,1088,6676,1126,1074
14.58,57.03289,56.02561,[M+H]+,TRUE,,C3H4O,"SmartFormula - mzdev: -0.0006 mSigma: Infinity, ",20000,,534,[],TRUE,736,1000,0,1112,178,822,0,750,824,180,534,0,0
19.52,57.03329,56.02601,[M+H]+,FALSE,,C3H4O,"SmartFormula - mzdev: -0.0002 mSigma: Infinity, ",20000,,1206,[],TRUE,0,1152,1254,4392,1148,1230,1792,1262,1100,1194,1178,1206,1614
6.65,57.03334,56.02607,[M+H]+,FALSE,,C3H4O,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,204,[],TRUE,140,158,1218,256,322,190,234,204,122,116,292,172,340
