"mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","G1","G10","G11","G12","G13","G14","G15","G17","G18","G19","G2","G21","G22","G23","G4","G5","G6","G7","G8","G9","NP"
"FT0050",109.100242236356,109.100116676773,109.100405715785,409.077667236328,405.421447753906,414.312103271484,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0051",110.007785986054,110.007680686777,110.007928424387,34.6966419219971,24.0708045959473,45.3204727172852,148,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0052",111.008994977145,111.008851999455,111.019477759592,35.258695602417,24.0708045959473,43.7596893310547,140,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0053",111.115801553408,111.115746314135,111.115965087606,367.187942504883,363.839508056641,371.602996826172,16,0,0,0,0,0,2,2,3,4,3,0,0,2,0,0,0,0,0,0,0,0
"FT0054",112.005397570306,112.005289677507,112.00554016222,35.082649230957,24.0708045959473,40.5420913696289,137,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0055",112.027376558955,112.027219654013,112.027590895635,44.472620010376,40.8367309570312,49.0153656005859,58,0,1,3,3,2,5,2,2,5,4,2,2,5,2,1,3,3,1,4,3,5
"FT0056",113.058825244531,113.05863766632,113.059018774704,653.435485839844,645.134460449219,658.222290039062,43,2,0,3,3,0,3,2,4,3,2,1,2,0,0,1,1,2,3,1,0,1
"FT0057",113.962735232522,113.96260945768,113.962866700593,1138.95483398438,1135.5302734375,1142.75994140625,46,1,4,4,0,4,1,2,2,3,3,2,2,1,3,3,1,0,2,4,2,2
"FT0058",114.090373831151,114.090268912302,114.09057897592,312.147979736328,308.732269287109,317.307464599609,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0059",114.986697170189,114.986452655233,114.992182077289,29.0681190490723,23.6933174133301,45.5311279296875,59,3,2,1,4,3,2,2,2,2,3,3,3,4,5,3,4,2,2,2,4,2
"FT0060",115.093714683904,115.093487594341,115.093839048727,312.00764465332,309.414245605469,313.920318603516,20,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,0,4,0,5
"FT0061",116.069652267715,116.069548071201,116.069776830124,329.580993652344,325.828002929688,333.974151611328,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0062",115.967937793453,115.95625613571,116.069856018526,44.4872608184814,36.9345169067383,69.1662979125977,80,5,2,4,3,3,3,3,2,2,1,4,2,4,3,3,4,4,2,4,4,5
"FT0063",116.069643133783,116.069525165852,116.069779448265,347.954864501953,344.446472167969,350.269866943359,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
"FT0064",117.090036321225,117.089890991216,117.090216524936,414.312774658203,410.311309814453,420.760833740234,70,5,4,5,3,4,3,4,3,4,3,1,4,5,0,2,3,5,2,3,5,1
"FT0065",117.090025737949,117.089899887448,117.090210869927,354.028076171875,339.923034667969,356.677429199219,71,4,3,2,2,4,3,4,3,4,2,3,3,3,4,2,5,4,1,2,5,4
"FT0066",117.090048208357,117.089883677943,117.090207839354,291.377365112305,286.467102050781,303.121612548828,56,3,0,2,3,3,4,3,4,5,2,3,5,2,3,1,1,2,2,4,0,4
"FT0067",117.072934304383,117.072707904155,117.07319908746,329.580993652344,325.828002929688,333.974151611328,47,0,5,1,0,4,2,2,5,5,3,2,0,0,1,4,0,3,4,2,3,1
"FT0068",117.090099380638,117.089960744207,117.090199793848,894.444458007812,887.001647949219,897.49755859375,28,4,0,0,0,0,1,2,3,3,0,2,1,3,0,0,2,3,0,0,1,2
"FT0069",117.090091162778,117.089938331657,117.090254198831,870.511962890625,859.74951171875,876.117309570312,25,3,0,0,0,1,0,1,2,2,0,2,0,3,1,1,2,4,0,0,1,1
"FT0070",117.0536353811,117.053553905244,117.053756651501,312.948455810547,311.261474609375,315.437683105469,14,5,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2
"FT0071",118.085324890717,118.085125333919,118.121634342969,43.076099395752,36.9275817871094,46.6488723754883,27,1,0,0,0,0,3,1,3,1,0,3,0,2,0,1,2,3,0,1,0,5
"FT0072",119.084578761993,119.084368417596,119.084709285635,680.306121826172,676.515563964844,683.696838378906,30,0,2,4,3,1,2,1,0,0,2,4,0,0,1,0,3,0,1,2,1,3
"FT0073",121.038627485314,121.03834460074,121.038791157713,65.8283538818359,62.5822792053223,69.2635116577148,23,1,0,0,0,1,0,0,0,0,0,5,0,0,0,5,4,3,2,1,0,1
"FT0074",122.095442312583,122.095267469135,122.095575575495,1108.20849609375,1102.81005859375,1114.23071289062,57,1,4,4,2,3,3,2,2,3,4,2,3,1,2,3,3,2,3,2,3,5
"FT0075",122.963004929997,122.962884818624,122.963130371771,1138.77136230469,1132.96716308594,1142.75994140625,48,1,5,4,0,3,1,2,2,3,3,2,2,1,4,3,1,0,2,5,2,2
"FT0076",123.054302461352,123.054047659083,123.054564662119,68.5084037780762,64.4163360595703,72.1908416748047,58,5,2,4,2,1,2,2,4,3,3,3,0,1,1,2,3,4,4,4,3,5
"FT0077",125.985265785912,125.985117540424,125.985445598334,42.5738201141357,24.6841468811035,65.2578430175781,218,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0078",126.988416885644,126.970234636788,126.988658439017,41.1305046081543,24.7654914855957,56.44677734375,122,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,3,5,5,5,5
"FT0079",127.014481631183,127.014356679668,127.014718159507,447.838317871094,445.230041503906,450.117645263672,19,0,5,0,1,1,2,2,2,0,0,0,1,1,2,0,1,0,0,1,0,0
"FT0080",128.018247180662,128.018086355409,128.069703838243,35.0285778045654,24.0708045959473,42.685920715332,126,5,5,5,5,5,5,5,4,5,5,4,4,5,4,4,5,5,5,4,5,5
"FT0081",128.106014942205,128.10568455153,128.106226373817,401.509002685547,398.871246337891,402.991455078125,18,1,0,1,0,0,2,2,3,4,1,0,0,1,0,0,1,0,0,0,0,2
"FT0082",129.992734677234,129.977935332254,130.085336205158,42.1947288513184,28.3888359069824,56.2360382080078,154,5,5,5,5,5,5,5,5,5,5,4,3,5,4,5,5,5,5,5,5,5
"FT0083",130.158026993062,130.157841182641,130.158170009154,1109.0087890625,1103.90319824219,1113.89477539062,44,1,4,3,2,3,3,1,1,1,3,2,3,0,1,1,3,2,3,1,2,4
"FT0084",130.157979730765,130.157797070515,130.158148914608,71.474178314209,62.5822792053223,75.6657104492188,42,3,0,1,2,1,0,4,1,4,2,3,2,0,2,2,3,3,4,3,2,0
"FT0085",131.000481951971,130.964029817897,131.000812468493,44.0646324157715,28.0101051330566,48.6602096557617,79,1,5,3,3,5,3,3,2,3,4,3,4,2,4,3,3,1,2,2,3,4
"FT0086",131.069281289395,131.069123243022,131.069419631498,540.425415039062,536.604248046875,543.743591308594,57,5,5,0,0,2,1,5,0,0,0,5,5,3,4,4,5,4,0,0,5,4
"FT0087",131.069276286633,131.069024708843,131.069461824975,495.787872314453,492.196960449219,498.959777832031,50,5,5,2,3,2,0,5,0,3,0,5,2,0,1,4,5,2,2,1,3,0
"FT0088",131.069284057751,131.069156459446,131.069429043167,735.738464355469,730.089660644531,740.060119628906,37,2,0,4,4,0,2,3,3,3,0,1,0,1,0,1,1,3,2,4,3,0
"FT0089",131.069285043031,131.069209558031,131.069434441042,761.701416015625,755.695495605469,766.839416503906,33,3,0,4,3,0,3,2,3,2,0,1,0,1,0,1,1,2,2,4,1,0
"FT0090",131.069309456846,131.06920868327,131.069421917575,787.41845703125,781.733093261719,791.925842285156,29,2,0,3,3,0,2,2,2,2,0,1,0,1,0,1,1,2,2,4,1,0
"FT0091",131.069307430153,131.069183655177,131.069395275995,709.518493652344,703.344421386719,713.420043945312,28,2,0,3,3,0,1,2,1,2,0,1,0,1,0,1,2,2,2,4,1,0
"FT0092",131.069245410698,131.069109674946,131.069452392578,418.014465332031,414.068969726562,430.681945800781,21,5,1,0,0,0,0,0,1,2,2,1,2,1,0,1,0,2,0,0,2,0
"FT0093",134.941105079035,134.940806850429,134.941311013107,42.599193572998,36.5536727905273,47.3277473449707,70,4,3,3,4,3,4,2,4,4,4,3,3,5,0,2,4,1,3,5,4,5
"FT0094",135.079416842429,135.079308601739,135.079614983907,564.288513183594,560.257141113281,569.457092285156,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0095",135.079414334238,135.079256693162,135.079640554179,662.744689941406,656.357421875,674.419067382812,121,5,5,5,3,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,3
"FT0096",135.100555111827,135.100366523887,135.100726963753,303.923309326172,300.1875,308.876983642578,94,5,5,5,5,5,4,4,5,5,2,5,2,5,4,5,5,5,5,4,5,4
"FT0097",135.100551923327,135.100390434636,135.10077069754,290.784973144531,286.376831054688,295.883453369141,84,2,0,3,4,5,4,5,5,5,5,5,5,5,5,3,3,2,4,5,4,5
"FT0098",135.079433631314,135.079231733913,135.079649709969,621.04638671875,615.50439453125,624.748840332031,83,5,5,4,3,4,3,4,5,5,3,4,2,3,4,5,4,5,5,5,2,3
"FT0099",135.079435856018,135.079187026287,135.079665662708,458.313995361328,454.722564697266,460.873046875,55,2,2,4,0,1,5,3,5,5,3,1,1,5,1,0,3,2,1,4,3,4
"FT0100",136.060737340308,136.060487747511,136.060835782391,56.0076675415039,53.2411193847656,56.8426818847656,19,0,0,0,1,0,1,1,1,0,0,0,0,4,0,0,1,2,0,1,2,5
"FT0101",136.930038115928,136.929897416386,136.930262778151,46.1692696075439,42.6568794250488,61.7597198486328,60,1,5,3,2,3,0,2,3,1,2,3,5,3,5,4,2,2,4,2,3,4
"FT0102",139.049176345468,139.048997126051,139.049284537375,65.8283538818359,62.5822792053223,67.9683990478516,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,1,0,0,0,0
"FT0103",141.126367087702,141.126176540261,141.126629383239,639.262756347656,632.113464355469,651.147705078125,155,5,5,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5,5
"FT0104",141.16268658435,141.162498353209,141.163034353732,859.759155273438,854.383239746094,864.337219238281,43,1,4,1,2,2,2,2,3,4,2,1,4,5,4,0,2,0,0,0,1,3
"FT0105",141.957560406392,141.957416549279,141.957706894984,1138.77362060547,1133.77600097656,1142.75994140625,68,2,5,4,1,4,2,3,3,3,3,4,3,2,5,3,3,1,4,5,4,4
"FT0106",142.930959307949,142.930808780768,142.965439187482,58.7701473236084,55.0112800598145,64.2300872802734,20,1,0,2,1,0,2,0,1,2,0,0,1,2,0,0,0,0,0,2,0,4
"FT0107",142.930974269422,142.930770415661,143.080565645037,45.6526679992676,38.1218338012695,50.0436477661133,47,2,1,0,2,1,3,2,2,1,3,3,3,3,4,3,2,3,3,2,1,0
"FT0108",144.100838409298,143.958015355239,144.100951065266,45.1877136230469,43.3928184509277,54.0733985900879,12,1,0,1,0,0,1,0,0,0,0,3,0,1,0,0,1,4,0,0,0,0
"FT0109",145.033490458369,144.981164056532,145.048392902444,50.4506015777588,40.8367309570312,56.0900840759277,44,0,2,2,3,2,1,1,3,3,3,2,1,0,3,1,3,1,3,1,2,4
"FT0110",145.928636661283,145.928478279516,145.928807202015,13.9890985488892,11.8058938980103,28.3044700622559,108,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0111",146.995305219697,146.995051285809,147.075590701561,46.6766510009766,35.4108238220215,56.2360382080078,67,2,5,5,2,4,5,2,3,3,4,2,3,1,1,2,4,3,0,2,4,5
"FT0112",148.05935841081,148.059088439548,148.059559184262,43.0007133483887,36.1610488891602,56.5024795532227,87,5,1,5,5,2,4,4,5,5,4,4,1,5,2,4,4,4,4,5,4,5
"FT0113",149.022250504877,149.02202817338,149.022440785121,800.311218261719,791.101440429688,807.263305664062,201,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0114",149.116152085446,149.115942987436,149.116320180156,344.269683837891,340.213012695312,352.518646240234,105,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0115",149.022284196763,149.022110091648,149.022491709781,619.940826416016,614.404174804688,633.253173828125,106,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0116",149.043784852725,149.043500921675,149.043982830675,422.813934326172,419.263580322266,428.10498046875,91,3,5,5,4,3,4,5,5,5,5,4,5,5,5,1,5,2,5,5,5,5
"FT0117",149.022286065705,149.022096552565,149.022409817928,578.674987792969,573.977478027344,584.389099121094,40,2,1,5,2,0,2,3,5,4,0,1,0,2,0,2,0,0,0,0,1,0
"FT0118",149.095030180166,149.094852063627,149.095259869736,661.899475097656,656.357421875,666.153564453125,36,4,0,2,1,1,1,1,0,1,0,1,0,1,1,4,1,5,5,5,1,1
"FT0119",149.02231858679,149.021996912443,149.022488241232,1018.57281494141,1011.95336914062,1022.44342041016,29,0,3,1,2,4,1,2,0,0,2,2,4,0,4,1,0,0,0,0,0,3
"FT0120",149.043742174346,149.04356245577,149.043873073909,118.225566864014,113.402130126953,120.496925354004,22,0,0,0,0,0,0,1,2,2,5,1,3,1,0,0,3,0,1,2,0,1
"FT0121",150.02565269012,150.025441358291,150.025847655919,619.939636230469,614.404174804688,624.764587402344,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0122",151.034166293864,151.033994171689,151.034363656743,35.1820449829102,24.0708045959473,41.1921577453613,138,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0123",151.095420462195,151.095247595728,151.09564278646,452.304168701172,449.487915039062,457.250396728516,40,2,0,1,0,1,2,3,5,5,4,2,2,2,2,1,2,1,1,1,0,3
"FT0124",152.035594675861,152.035317276592,152.05572395895,35.2004661560059,24.0708045959473,45.6869201660156,119,5,5,4,5,5,3,4,4,5,5,5,4,4,4,4,5,5,5,4,5,4
"FT0125",152.055567583184,152.055406503255,152.055794652161,56.0076675415039,50.3800888061523,60.4030685424805,55,3,3,2,0,2,1,2,4,4,4,4,1,4,4,2,4,2,1,0,3,5
"FT0126",153.031909668067,152.945992404981,153.058318147558,34.4022083282471,24.4104175567627,52.8599319458008,98,4,3,3,5,4,4,3,4,5,5,4,3,4,2,4,3,4,4,4,4,5
"FT0127",155.045727277761,155.045437257923,155.046089679012,449.021667480469,445.230041503906,451.566772460938,85,3,5,4,3,5,3,5,5,5,0,4,5,5,5,3,5,3,5,5,5,2
"FT0128",155.045721221449,155.045464978367,155.046025993042,748.06103515625,737.893371582031,752.659973144531,88,5,5,5,4,4,4,2,0,1,0,5,1,5,5,5,4,5,5,5,5,0
"FT0129",155.105585727666,155.105397702628,155.105735744618,390.598587036133,387.634674072266,392.597351074219,54,0,1,5,3,1,5,3,3,3,2,0,2,3,1,5,4,3,3,4,3,0
"FT0130",155.06915253854,155.068896124368,155.069364781615,329.575393676758,327.741027832031,331.798126220703,28,0,0,2,2,0,0,1,0,1,2,0,2,4,0,0,1,2,4,2,0,5
"FT0131",156.137146824226,156.136855338477,156.137320647125,60.5488052368164,56.9610824584961,64.3933486938477,73,3,5,3,3,5,2,3,3,3,4,5,4,1,5,4,4,3,2,1,5,5
"FT0132",156.137049514306,156.012866727869,156.137411693739,43.7607955932617,24.4104175567627,50.0436477661133,79,5,2,2,3,2,3,3,5,5,4,2,1,5,2,3,3,4,0,3,3,3
"FT0133",157.0824830933,157.082255711364,157.082709404848,303.773635864258,300.1875,306.225738525391,66,5,5,5,4,1,3,1,3,0,0,5,0,4,1,5,5,5,3,4,5,2
"FT0134",157.082453239187,157.048514635772,157.082716854956,290.743606567383,284.669342041016,293.302185058594,60,1,0,3,3,3,3,3,5,5,3,0,5,4,5,1,1,1,3,4,1,5
"FT0135",158.152856694433,158.152577860449,158.153084509143,587.897155761719,583.515930175781,593.012329101562,103,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4
"FT0136",158.960200779751,158.960030901882,158.960388952099,14.4864764213562,11.9957580566406,24.4919776916504,106,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0137",159.064129267311,159.063970407351,159.064299611879,426.315368652344,422.957550048828,428.528991699219,36,5,2,4,2,0,0,0,1,0,0,4,3,3,4,3,0,0,0,1,0,4
"FT0138",159.064081440112,159.063918699287,159.06431406984,309.959747314453,306.826843261719,311.965301513672,35,5,1,3,2,0,0,1,0,0,0,5,2,5,4,3,0,0,0,0,0,4
"FT0139",161.011054649474,161.010802079283,161.091019312562,50.3706970214844,41.4968223571777,67.1468505859375,171,3,5,4,4,5,2,3,3,4,5,5,4,4,5,4,4,3,5,5,5,5
"FT0140",161.09497238546,161.094833791115,161.095175642009,779.720397949219,772.058410644531,783.32470703125,32,4,0,2,0,1,2,0,0,0,0,1,0,0,0,4,1,5,5,5,1,1
"FT0141",163.110645946254,163.074067800134,163.110915150197,563.556823730469,547.835510253906,578.793823242188,141,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0142",162.972536987271,162.972328464757,163.059262200875,47.9810752868652,39.6685028076172,52.8827667236328,106,5,5,5,3,5,5,5,4,5,4,5,3,4,5,4,5,5,4,5,5,5
"FT0143",163.037884306618,163.037673187262,163.038238629196,516.427551269531,513.120544433594,519.135437011719,56,3,5,4,3,1,1,2,4,4,1,4,1,0,0,1,5,2,5,4,5,1
"FT0144",163.131762282731,163.131577033207,163.132002379973,430.734802246094,426.759368896484,435.952606201172,104,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
