well,treatmentnr,treatment,t,eggs,juvs
1G06,9,A_f08,14,NA,72
1G07,1,water,0,86,7
1G07,1,water,14,NA,9
1G08,65,epibras_100nM,0,81,6
1G08,65,epibras_100nM,14,NA,8
1G09,45,D_f04,0,55,8
1G09,45,D_f04,14,NA,8
1G10,17,A_f16,0,69,4
1G10,17,A_f16,14,NA,9
1G11,4,A_f03,0,96,13
1G11,4,A_f03,14,NA,14
1G12,51,D_f10,0,119,17
1G12,51,D_f10,14,NA,34
1H01,45,D_f04,0,97,10
1H01,45,D_f04,14,NA,14
1H02,57,D_f16,0,104,12
1H02,57,D_f16,14,NA,19
1H03,16,A_f15,0,117,11
1H03,16,A_f15,14,NA,14
1H04,3,A_f02,0,92,10
1H04,3,A_f02,14,NA,10
1H05,32,S_f11,0,85,9
1H05,32,S_f11,14,NA,11
1H06,57,D_f16,0,112,10
1H06,57,D_f16,14,NA,9
1H07,39,S_f18,0,80,15
1H07,39,S_f18,14,NA,14
1H08,14,A_f13,0,100,8
1H08,14,A_f13,14,NA,15
1H09,46,D_f05,0,92,9
1H09,46,D_f05,14,NA,11
1H10,27,S_f06,0,111,10
1H10,27,S_f06,14,NA,13
1H11,25,S_f04,0,130,10
1H11,25,S_f04,14,NA,11
1H12,40,S_f19,0,111,22
1H12,40,S_f19,14,NA,22
2_E01,29,S_f08,0,93,18
2_E01,29,S_f08,14,NA,21
2_E02,49,D_f08,0,109,8
2_E02,49,D_f08,14,NA,73
2_E03,28,S_f07,0,88,14
2_E03,28,S_f07,14,NA,13
2_E04,29,S_f08,0,95,20
2_E04,29,S_f08,14,NA,23
2_E05,52,D_f11,0,100,18
2_E05,52,D_f11,14,NA,30
2_E06,35,S_f14,0,88,18
2_E06,35,S_f14,14,NA,16
2_E07,30,S_f09,0,101,8
2_E07,30,S_f09,14,NA,44
2_E08,59,D_f18,0,90,12
2_E08,59,D_f18,14,NA,16
2_E09,7,A_f06,0,110,7
2_E09,7,A_f06,14,NA,11
2_E10,24,S_f03,0,89,13
2_E10,24,S_f03,14,NA,11
2_E11,61,D_10xdil,0,98,7
2_E11,61,D_10xdil,14,NA,72
2_E12,62,bras_5nM,0,73,10
2_E12,62,bras_5nM,14,NA,14
2A01,56,D_f15,0,102,15
2A01,56,D_f15,14,NA,13
2A02,31,S_f10,0,87,8
2A02,31,S_f10,14,NA,15
2A03,18,A_f17,0,68,7
2A03,18,A_f17,14,NA,8
2A04,11,A_f10,0,77,8
2A04,11,A_f10,14,NA,14
2A05,54,D_f13,0,92,8
2A05,54,D_f13,14,NA,7
2A06,41,S_10xdil,0,90,9
2A06,41,S_10xdil,14,NA,38
2A07,12,A_f11,0,68,8
2A07,12,A_f11,14,NA,9
2A08,10,A_f09,0,82,10
2A08,10,A_f09,14,NA,47
2A09,53,D_f12,0,64,6
2A09,53,D_f12,14,NA,7
2A10,9,A_f08,0,84,11
2A10,9,A_f08,14,NA,66
2A11,53,D_f12,0,77,9
2A11,53,D_f12,14,NA,7
2A12,23,S_f02,0,89,16
2A12,23,S_f02,14,NA,14
2B01,32,S_f11,0,95,8
2B01,32,S_f11,14,NA,11
2B02,1,water,0,99,14
2B02,1,water,14,NA,14
2B03,37,S_f16,0,83,10
2B03,37,S_f16,14,NA,9
2B04,63,bras_100nM,0,95,7
2B04,63,bras_100nM,14,NA,6
2B05,41,S_10xdil,0,91,9
2B05,41,S_10xdil,14,NA,36
2B06,60,D_f19,0,95,7
2B06,60,D_f19,14,NA,6
2B07,49,D_f08,0,104,3
2B07,49,D_f08,14,NA,72
2B08,43,D_f02,0,135,17
2B08,43,D_f02,14,NA,16
2B09,22,S_f01,0,101,9
2B09,22,S_f01,14,NA,11
2B10,14,A_f13,0,82,14
2B10,14,A_f13,14,NA,18
2B11,34,S_f13,0,97,15
2B11,34,S_f13,14,NA,18
2B12,44,D_f03,0,108,13
2B12,44,D_f03,14,NA,16
2C01,17,A_f16,0,121,12
2C01,17,A_f16,14,NA,8
2C02,53,D_f12,0,114,12
2C02,53,D_f12,14,NA,12
2C03,30,S_f09,0,80,8
2C03,30,S_f09,14,NA,24
2C04,26,S_f05,0,81,10
2C04,26,S_f05,14,NA,15
2C05,61,D_10xdil,0,104,11
2C05,61,D_10xdil,14,NA,81
2C06,54,D_f13,0,80,8
2C06,54,D_f13,14,NA,12
2C07,64,epibras_5nM,0,94,10
2C07,64,epibras_5nM,14,NA,11
2C08,40,S_f19,0,94,6
2C08,40,S_f19,14,NA,10
2C09,50,D_f09,0,100,18
2C09,50,D_f09,14,NA,76
2C10,12,A_f11,0,78,7
2C10,12,A_f11,14,NA,11
2C11,64,epibras_5nM,0,84,11
2C11,64,epibras_5nM,14,NA,12
2C12,25,S_f04,0,100,6
2C12,25,S_f04,14,NA,8
2D01,48,D_f07,0,118,8
2D01,48,D_f07,14,NA,11
2D02,65,epibras_100nM,0,106,6
2D02,65,epibras_100nM,14,NA,8
2D03,58,D_f17,0,85,8
