order,name,rank
1,M497.181T7.66,1
2,M569.203T8.56,2.386904762
3,M236.105T10.74,76.39285714
4,M283.101T9.05,149.6130952
5,M265.108T8.53,799.9642857
6,M319.119T9.67,872.827381
7,M315.127T11.25,945.3690476
8,M281.086T8.67,1089.630952
9,M638.236T6.33,1089.988095
10,M411.111T9.76,1233.583333
11,M299.132T9.25,1305.922619
12,M331.084T8.25,1306.190476
