RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blank,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
0.04,61.9886,62.99588,[M-H]-,FALSE,,,,,,714,[],TRUE,590,638,824,638,772,810,714,724,1052,796,540,480,420
5.38,61.98861,62.99589,[M-H]-,TRUE,,,,,,1052,[],TRUE,832,3402,1314,868,1136,3572,998,946,1122,3476,1038,1008,1052
7.03,61.98861,62.99589,[M-H]-,TRUE,,,,,,1458,[],TRUE,1264,1218,1384,3578,1176,1618,1902,3670,1270,1494,1332,3490,1458
7.65,61.98861,62.99589,[M-H]-,TRUE,,,,,,1700,[],TRUE,1386,1248,1464,1918,4168,1620,1606,2936,2756,1700,1234,2024,3118
7.92,61.98861,62.99588,[M-H]-,TRUE,,,,,,1458,[],TRUE,1068,1200,1040,1636,3376,1294,1458,1092,3318,1266,1532,1582,3438
1.56,61.98862,62.9959,[M-H]-,TRUE,,,,,,3424,[],TRUE,1216,3310,3880,3490,3424,3048,3296,4306,3454,3834,3292,3772,3156
10.93,61.98864,62.99591,[M-H]-,FALSE,,,,,,2118,[],TRUE,1544,2054,1608,2446,2026,5738,1940,2118,2454,2094,2228,2530,2630
11.75,61.98864,62.99592,[M-H]-,TRUE,,,,,,2344,[],TRUE,2234,2002,2648,2306,1882,2450,5214,2344,2562,2374,1998,2224,2966
6.86,61.98864,62.99592,[M-H]-,TRUE,,,,,,1534,[],TRUE,954,1322,1748,4138,1534,1524,2034,3922,1224,1152,1790,3424,1278
13.48,61.98865,62.99593,[M-H]-,TRUE,,,,,,2192,[],TRUE,1970,1554,2100,2306,5266,5108,1902,2372,2716,2192,2138,2430,2118
0.85,61.98866,62.99593,[M-H]-,TRUE,,,,,,868,[],TRUE,562,1054,836,918,868,820,688,1094,706,932,878,848,876
