RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blank,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
0.55,162.98271,163.98998,[M-H]-,TRUE,,,,,,380,[],TRUE,256,742,464,460,458,380,372,362,250,576,378,392,236
0.24,162.98288,163.99016,[M-H]-,TRUE,,,,,,1256,[],TRUE,1109,1144,1261,1364,1140,0,1300,1250,1256,1190,1456,1598,1472
0.23,162.98299,327.98053,[M-H-H]2-,TRUE,,,,,,0,[],TRUE,0,0,0,1278,0,1318,0,0,1140,0,0,1130,0
0.96,162.98333,163.99061,[M-H]-,TRUE,,,,,,384,[],TRUE,310,456,736,380,358,648,464,322,220,464,418,384,158
7.1,164.03491,165.04219,[M-H]-,TRUE,,C8H7NO3,"SmartFormula - mzdev: -0.0004 mSigma: Infinity, ",20000,,0,[],TRUE,0,0,0,1166,194,0,0,976,0,0,0,1076,80
1.39,164.8361,165.84337,[M-H]-,FALSE,,,,,,652,[],TRUE,0,774,784,772,582,716,746,630,586,652,620,574,816
19.85,164.83845,165.84572,[M-H]-,TRUE,,,,,,1042,[],TRUE,962,1346,770,1370,1042,950,1214,930,1066,1268,1004,1304,700
19.97,164.92744,165.93472,[M-H]-,FALSE,,,,,,534,[],TRUE,0,456,534,558,544,480,444,460,770,508,722,784,644
7.51,167.10678,168.11406,[M-H]-,FALSE,,,,,,524,[],TRUE,258,400,478,224,632,464,670,586,366,530,524,538,720
19.89,168.83378,169.84106,[M-H]-,TRUE,,,,,,596,[],TRUE,788,448,518,558,536,486,642,596,474,688,790,688,848
19.83,169.87374,170.88101,[M-H]-,FALSE,,,,,,624,[],TRUE,476,470,658,640,620,656,686,608,720,624,632,382,570
19.87,170.83272,171.83999,[M-H]-,TRUE,,,,,,942,[],TRUE,738,942,1118,1210,996,1008,1118,816,728,926,916,1248,848
19.99,170.87112,171.87839,[M-H]-,TRUE,,,,,,650,[],TRUE,0,726,588,768,646,606,730,576,724,652,740,572,650
15.93,170.944,171.95127,[M-H]-,TRUE,,,,,,386,[],TRUE,0,302,324,390,386,386,400,0,418,0,0,804,440
5.55,171.06635,172.07363,[M-H]-,FALSE,,C8H12O4,"SmartFormula - mzdev: 0.0001 mSigma: Infinity, ",20000,,302,[],TRUE,536,674,200,206,194,666,406,588,140,844,256,0,302
0.82,171.94716,172.95444,[M-H]-,TRUE,,,,,,620,[],TRUE,128,456,682,610,750,714,606,428,696,620,512,632,676
3.93,172.09787,173.10514,[M-H]-,TRUE,,,,,,552,[],TRUE,200,474,278,554,310,732,650,608,418,578,828,552,0
19.88,172.8299,173.83718,[M-H]-,TRUE,,,,,,718,[],TRUE,712,736,718,914,890,1008,734,636,638,576,692,1248,512
19.81,172.8706,173.87788,[M-H]-,TRUE,,,,,,1030,[],TRUE,978,962,1050,1002,866,1214,1232,1010,1104,1270,918,1030,1344
5.23,173.08185,174.08913,[M-H]-,TRUE,,C9H10N4,"SmartFormula - mzdev: -0.0014 mSigma: 23.07, ",20100,,516,[],TRUE,130,1340,376,516,402,1590,570,426,294,1390,626,572,444
16.51,173.99758,175.00485,[M-H]-,FALSE,,,,,,0,[],TRUE,730,0,0,0,0,0,0,0,566,0,484,0,0
16.87,174.00193,175.00921,[M-H]-,TRUE,,,,,,444,[],TRUE,0,386,386,450,618,382,444,496,382,584,814,436,464
16.28,174.00195,175.00923,[M-H]-,TRUE,,,,,,464,[],TRUE,0,398,570,666,468,464,380,518,440,586,0,724,438
15.28,174.00199,175.00927,[M-H]-,TRUE,,,,,,444,[],TRUE,536,462,534,734,420,338,418,448,504,444,0,388,404
19.82,174.86558,175.87286,[M-H]-,TRUE,,,,,,1316,[],TRUE,1190,1316,1224,1436,1096,1266,1954,1080,1878,1424,1336,1208,1490
17.48,174.88283,175.89011,[M-H]-,TRUE,,,,,,0,[],TRUE,2080,1204,0,0,0,0,0,0,0,0,0,0,0
19.72,174.88705,175.89433,[M-H]-,TRUE,,,,,,888,[],TRUE,0,1340,872,888,878,1998,724,1816,1062,1188,682,638,1230
17.86,174.88715,175.89442,[M-H]-,TRUE,,,,,,1574,[],TRUE,0,1568,1632,1388,1782,1746,1824,1540,1574,1504,1446,1810,1830
18.12,174.88716,175.89444,[M-H]-,TRUE,,,,,,1726,[],TRUE,0,1520,1758,1926,1630,1462,1782,1570,1726,2098,1676,1834,2048
18.33,174.88718,175.89446,[M-H]-,TRUE,,,,,,1894,[],TRUE,0,1756,2048,2038,1588,1720,2278,1958,1894,1946,1514,1968,1888
17.66,174.88721,175.89448,[M-H]-,TRUE,,,,,,1630,[],TRUE,0,1650,1630,1920,1402,1820,1576,1464,1532,1860,1840,1584,1816
0.85,174.95568,175.96295,[M-H]-,TRUE,,,,,,1240,[],TRUE,1064,1180,1014,1278,1104,1650,1452,1440,996,1318,1240,1264,1142
19.98,174.95578,175.96306,[M-H]-,TRUE,,,,,,1930,[],TRUE,1406,2120,2104,1836,1822,1924,1876,2112,1930,1908,2234,2220,1960
0.63,174.95613,175.96341,[M-H]-,TRUE,,,,,,1824,[],TRUE,254,1046,1816,3318,2078,1824,2164,2256,2030,2666,1374,1386,1298
1.49,174.95626,175.96353,[M-H]-,TRUE,,,,,,382,[],TRUE,392,474,414,382,378,350,430,756,376,366,454,352,324
19.8,176.8619,177.86917,[M-H]-,FALSE,,,,,,602,[],TRUE,0,616,638,556,712,602,560,562,632,668,524,396,680
18.81,176.88393,177.89121,[M-H]-,TRUE,,,,,,652,[],TRUE,0,886,750,750,712,558,678,514,648,652,606,564,710
14.8,176.88425,177.89153,[M-H]-,TRUE,,,,,,498,[],TRUE,682,498,440,608,526,458,434,430,844,586,432,408,538
15.76,176.88432,177.8916,[M-H]-,FALSE,,,,,,588,[],TRUE,498,462,530,508,516,496,664,674,616,588,886,878,722
17.28,176.88437,177.89164,[M-H]-,TRUE,,,,,,714,[],TRUE,732,714,630,806,592,668,694,562,1022,750,738,668,756
18.44,176.88441,177.89169,[M-H]-,TRUE,,,,,,674,[],TRUE,0,748,716,592,650,708,660,632,972,844,888,674,570
17.71,176.88442,177.89169,[M-H]-,TRUE,,,,,,840,[],TRUE,0,618,702,920,1096,1018,840,846,652,970,596,944,768
16.73,176.88451,177.89178,[M-H]-,TRUE,,,,,,710,[],TRUE,0,770,806,1008,710,712,560,626,670,710,620,672,762
0.27,178.97783,179.98511,[M-H]-,FALSE,,,,,,699,[],TRUE,80,613,702,699,702,788,634,940,1004,745,656,659,671
19.81,179.90299,180.91026,[M-H]-,FALSE,,,,,,546,[],TRUE,168,456,536,420,538,600,568,428,616,546,846,818,806
0.31,180.8994,181.90668,[M-H]-,TRUE,,,,,,566,[],TRUE,372,490,494,504,588,566,460,612,670,584,498,818,652
1.42,180.89956,181.90684,[M-H]-,TRUE,,,,,,500,[],TRUE,456,500,468,526,816,536,500,416,704,450,600,618,494
0.03,180.89973,181.907,[M-H]-,FALSE,,,,,,726,[],TRUE,612,782,554,802,816,588,532,868,670,738,726,526,776
17.29,180.97216,181.97943,[M-H]-,TRUE,,,,,,750,[],TRUE,770,840,616,716,750,822,664,812,562,864,826,744,734
10.7,180.97289,181.98017,[M-H]-,TRUE,,C7H2O6,"SmartFormula - mzdev: -0.0050 mSigma: Infinity, ",10000,,526,[],TRUE,0,526,852,542,522,540,484,614,568,436,546,502,464
14.87,180.97295,181.98023,[M-H]-,TRUE,,C7H2O6,"SmartFormula - mzdev: -0.0049 mSigma: Infinity, ",10000,,476,[],TRUE,0,476,832,390,528,456,418,528,606,374,666,446,668
16.26,180.97301,181.98028,[M-H]-,TRUE,,C7H2O6,"SmartFormula - mzdev: -0.0049 mSigma: Infinity, ",10000,,604,[],TRUE,0,534,638,826,604,554,404,788,896,674,494,504,858
17.61,180.97303,181.9803,[M-H]-,TRUE,,C7H2O6,"SmartFormula - mzdev: -0.0048 mSigma: Infinity, ",10000,,598,[],TRUE,0,578,582,482,598,570,1030,744,626,592,644,722,880
0.12,180.97305,181.98033,[M-H]-,FALSE,,C7H2O6,"SmartFormula - mzdev: -0.0048 mSigma: 24.34, ",10100,,15990,[],TRUE,11331,14796,15712,15621,15990,16314,14584,16666,16602,16821,16983,16818,15921
12.4,180.97306,181.98034,[M-H]-,TRUE,,C7H2O6,"SmartFormula - mzdev: -0.0048 mSigma: Infinity, ",10000,,544,[],TRUE,0,596,462,558,492,542,660,794,536,558,544,800,414
11.97,180.97307,181.98035,[M-H]-,TRUE,,C7H2O6,"SmartFormula - mzdev: -0.0048 mSigma: Infinity, ",10000,,604,[],TRUE,0,574,490,782,490,992,938,604,656,438,624,426,642
18.14,180.97308,181.98036,[M-H]-,TRUE,,C7H2O6,"SmartFormula - mzdev: -0.0048 mSigma: Infinity, ",10000,,554,[],TRUE,0,752,422,0,506,0,554,568,526,646,956,558,628
16.95,180.97308,181.98036,[M-H]-,TRUE,,C7H2O6,"SmartFormula - mzdev: -0.0048 mSigma: Infinity, ",10000,,598,[],TRUE,0,568,536,1004,598,518,572,616,858,524,862,910,704
0.5,180.97309,181.98037,[M-H]-,TRUE,,,,,,3770,[],TRUE,1048,4112,4030,4618,2832,4392,3502,4192,2712,3360,4682,3770,3406
16.73,180.97309,181.98036,[M-H]-,TRUE,,C7H2O6,"SmartFormula - mzdev: -0.0048 mSigma: Infinity, ",10000,,646,[],TRUE,0,514,496,572,850,520,698,646,684,656,708,890,630
19.79,182.89948,183.90676,[M-H]-,TRUE,,,,,,1206,[],TRUE,820,1432,1086,1360,1058,1284,854,1192,1296,1206,1394,1392,1148
18.72,183.17496,184.18224,[M-H]-,TRUE,,C12H24O,"SmartFormula - mzdev: -0.0005 mSigma: Infinity, ",20000,,598,[],TRUE,292,608,538,614,524,612,542,482,778,606,438,688,598
16.38,184.91435,185.92163,[M-H]-,TRUE,,,,,,952,[],TRUE,1132,1226,1226,664,936,1284,922,942,1060,1082,924,952,778
19.75,184.91579,185.92307,[M-H]-,FALSE,,,,,,516,[],TRUE,516,438,724,448,428,588,328,700,576,420,546,416,784
17.73,184.91589,185.92317,[M-H]-,TRUE,,,,,,1110,[],TRUE,0,976,1228,1110,980,1126,852,1202,1474,1172,990,1390,1084
17.04,184.91592,185.92319,[M-H]-,TRUE,,,,,,1064,[],TRUE,0,930,930,1096,1512,948,1248,998,1180,1606,1404,1064,1028
16.77,184.91593,185.92321,[M-H]-,TRUE,,,,,,1046,[],TRUE,0,1106,960,1446,1070,1010,936,846,1224,1046,1002,1250,1116
17.42,184.91593,185.92321,[M-H]-,TRUE,,,,,,1064,[],TRUE,0,778,840,982,1254,1154,958,1110,1324,1064,1124,888,1454
12.72,184.91599,185.92327,[M-H]-,TRUE,,,,,,506,[],TRUE,0,0,306,702,470,526,454,570,506,572,442,526,506
14.16,184.916,185.92328,[M-H]-,TRUE,,,,,,648,[],TRUE,0,580,684,746,622,508,648,1074,772,778,884,520,510
17.25,184.91606,185.92334,[M-H]-,TRUE,,,,,,1020,[],TRUE,0,1146,1020,1044,1004,924,988,1380,912,1170,1376,1070,982
14.35,184.9161,185.92338,[M-H]-,TRUE,,,,,,620,[],TRUE,0,918,576,756,528,728,590,574,600,788,696,620,938
18.76,185.19086,186.19814,[M-H]-,TRUE,,C12H26O,"SmartFormula - mzdev: -0.0002 mSigma: Infinity, ",20000,,660,[],TRUE,0,804,752,654,748,824,632,626,452,664,518,660,948
19.56,185.9117,186.91898,[M-H]-,TRUE,,,,,,688,[],TRUE,0,520,732,604,688,512,738,716,718,718,590,580,728
19.32,185.9118,186.91908,[M-H]-,TRUE,,,,,,604,[],TRUE,0,578,564,570,604,688,618,722,636,576,754,714,522
19.07,185.91202,186.9193,[M-H]-,TRUE,,,,,,472,[],TRUE,0,472,462,404,410,516,500,528,408,474,490,742,460
19.1,186.11119,187.11847,[M-H]-,TRUE,,C9H17NO3,"SmartFormula - mzdev: -0.0024 mSigma: Infinity, ",20000,,818,[],TRUE,996,800,940,714,922,802,678,578,818,804,976,878,964
6.6,186.11289,187.12017,[M-H]-,TRUE,,C9H17NO3,"SmartFormula - mzdev: -0.0007 mSigma: Infinity, ",20000,,460,[],TRUE,344,460,184,720,360,736,654,652,594,316,222,632,322
18.8,186.11345,187.12073,[M-H]-,TRUE,,C9H17NO3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,752,[],TRUE,0,778,666,708,1024,768,562,758,610,876,752,614,1066
19.37,186.11345,187.12073,[M-H]-,TRUE,,C9H17NO3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,1114,[],TRUE,0,1094,1120,1130,1198,1118,1002,1236,916,1150,1114,844,1042
4.9,186.11351,187.12078,[M-H]-,TRUE,,C9H17NO3,"SmartFormula - mzdev: -0.0001 mSigma: 7.61, ",20200,,2400,[],TRUE,634,2400,720,1496,1648,9488,4602,3812,4932,2724,1526,2788,788
19.6,186.11362,187.12089,[M-H]-,TRUE,,,,,,848,[],TRUE,0,654,848,618,720,838,900,660,922,946,874,868,870
6.29,187.09732,188.10472,"[M-H]-, [M-H-H2O]-",TRUE,,C9H16O4,"SmartFormula - mzdev: 0.0001 mSigma: 10.61, ",20200,,1700,[],TRUE,1246,1150,5420,1326,1700,1594,4488,1614,1876,1860,5488,2002,1582
9.04,188.94722,189.95449,[M-H]-,TRUE,,,,,,0,[],TRUE,1898,0,0,0,0,0,244,0,0,364,0,220,270
5.79,189.09196,190.09924,[M-H]-,TRUE,,C7H14N2O4,"SmartFormula - mzdev: 0.0039 mSigma: 7.09, ",10200,,0,[],TRUE,0,894,112,0,0,1008,0,0,0,1100,0,0,0
19.85,189.86069,190.86797,[M-H]-,TRUE,,,,,,898,[],TRUE,1052,896,890,886,946,898,1142,926,838,950,754,724,980
19.82,189.93144,190.93872,[M-H]-,FALSE,,,,,,456,[],TRUE,0,456,514,650,456,326,444,810,504,350,856,422,450
0.71,189.95658,190.96386,[M-H]-,TRUE,,,,,,466,[],TRUE,0,506,498,814,338,516,344,466,586,428,714,398,466
0.78,190.92816,191.93543,[M-H]-,TRUE,,,,,,2688,[],TRUE,1892,2688,2350,3180,2840,3624,2632,2932,2744,2602,2830,2686,2366
0.36,190.9284,191.93568,[M-H]-,TRUE,,,,,,2688,[],TRUE,1500,2572,2522,2468,2396,3012,2876,2462,2872,3314,2924,2864,2688
0.03,190.92844,191.93572,[M-H]-,FALSE,,,,,,3306,[],TRUE,2562,3332,3342,3572,3130,3690,3660,3302,3786,3306,3206,3242,3138
10.64,191.10756,192.11483,[M-H]-,TRUE,,C12H16O2,"SmartFormula - mzdev: -0.0002 mSigma: Infinity, ",20000,,632,[],TRUE,594,780,646,632,650,526,576,756,716,476,580,730,618
19.85,191.85775,192.86502,[M-H]-,TRUE,,,,,,876,[],TRUE,0,876,1106,746,946,724,1142,700,1044,906,1254,738,720
7.11,192.06671,193.07398,[M-H]-,TRUE,,C10H11NO3,"SmartFormula - mzdev: 0.0002 mSigma: 27.29, ",20100,,964,[],TRUE,0,338,964,11158,1382,712,760,11704,1082,708,456,11338,1478
19.79,192.92841,193.93568,[M-H]-,TRUE,,,,,,2468,[],TRUE,2512,1902,2468,2624,2384,2214,3118,3208,2212,2470,2418,2330,2696
11.52,192.92869,193.93597,[M-H]-,TRUE,,,,,,524,[],TRUE,514,564,556,530,472,480,686,524,738,480,484,812,458
13.03,192.92873,193.93601,[M-H]-,TRUE,,,,,,578,[],TRUE,420,486,622,764,550,516,516,768,428,578,630,728,620
13.85,192.92876,193.93604,[M-H]-,TRUE,,,,,,484,[],TRUE,0,536,736,448,480,398,392,484,606,550,546,566,476
11.23,192.92884,193.93611,[M-H]-,TRUE,,,,,,482,[],TRUE,0,394,382,778,490,384,482,672,472,526,572,464,566
12.39,192.92886,193.93614,[M-H]-,TRUE,,,,,,548,[],TRUE,0,622,518,510,662,558,724,472,502,746,548,546,582
12.11,192.92889,193.93616,[M-H]-,TRUE,,,,,,456,[],TRUE,0,530,586,408,450,518,524,456,0,840,436,450,554
10.67,192.92894,193.93621,[M-H]-,TRUE,,,,,,452,[],TRUE,0,522,408,452,438,796,504,738,384,552,496,410,370
11.41,194.08185,195.08912,[M-H]-,TRUE,,C10H13NO3,"SmartFormula - mzdev: -0.0005 mSigma: 8.99, ",20200,,11478,[],TRUE,11378,12384,12052,9576,11364,12064,13116,12042,11380,10788,11478,11018,11830
15.24,194.90114,195.90842,[M-H]-,TRUE,,,,,,0,[],TRUE,732,520,576,0,0,0,0,0,0,0,0,0,454
16.58,194.90345,195.91072,[M-H]-,TRUE,,,,,,676,[],TRUE,764,670,704,676,676,566,630,828,890,552,586,652,694
14.29,194.90349,195.91077,[M-H]-,TRUE,,,,,,446,[],TRUE,788,512,434,358,390,542,442,432,640,476,880,446,0
17.29,194.90565,195.91293,[M-H]-,TRUE,,,,,,560,[],TRUE,0,780,612,474,428,990,560,858,484,616,556,510,670
15.59,194.90573,195.91301,[M-H]-,TRUE,,,,,,632,[],TRUE,0,496,862,592,538,480,636,802,748,686,590,632,846
13.41,194.90583,195.9131,[M-H]-,TRUE,,,,,,416,[],TRUE,0,502,880,382,732,308,314,520,380,416,274,608,474
14.49,194.90585,195.91313,[M-H]-,TRUE,,,,,,526,[],TRUE,0,504,534,494,756,518,564,448,800,446,626,650,526
15.02,194.90587,195.91315,[M-H]-,TRUE,,,,,,518,[],TRUE,0,490,576,452,518,456,994,882,574,618,662,464,432
16.09,194.90589,195.91317,[M-H]-,TRUE,,,,,,640,[],TRUE,0,576,772,912,790,608,718,594,686,546,582,870,640
14.68,194.90599,195.91326,[M-H]-,TRUE,,,,,,574,[],TRUE,0,574,494,494,540,796,668,808,558,600,746,586,428
19.8,194.92449,149.92671,"[M+COOH]-, [M+Cl]-",TRUE,,,,,,1142,[],TRUE,0,830,1676,1142,1340,1006,1150,1206,1132,1218,1042,1396,886
19.95,195.81075,196.81803,[M-H]-,TRUE,,,,,,694,[],TRUE,0,866,618,992,902,678,694,904,556,884,684,930,642
1.37,195.81097,196.81825,[M-H]-,TRUE,,,,,,3276,[],TRUE,0,1242,1906,7400,3126,4540,3040,5318,2230,3276,3284,3880,3684
19.72,195.81156,196.81884,[M-H]-,FALSE,,,,,,470,[],TRUE,0,324,734,514,390,918,470,546,414,686,452,310,526
0.66,195.91269,196.91996,[M-H]-,FALSE,,,,,,474,[],TRUE,472,516,756,462,608,460,402,474,624,406,490,434,482
6.45,196.0248,197.03208,[M-H]-,TRUE,,C8H7NO5,"SmartFormula - mzdev: -0.0003 mSigma: 8.45, ",20200,,602,[],TRUE,0,628,492,890,1598,600,440,1178,656,482,430,602,684
19.95,197.80749,198.81476,[M-H]-,TRUE,,,,,,828,[],TRUE,828,622,740,852,1136,1048,766,902,784,692,1034,744,976
19.72,197.8078,198.81508,[M-H]-,FALSE,,,,,,570,[],TRUE,0,392,734,570,324,918,686,308,760,918,406,844,470
1.37,197.80794,198.81522,[M-H]-,TRUE,,,,,,3284,[],TRUE,0,2224,1906,8304,3126,4540,3040,5318,3542,3276,3284,3880,3684
19.6,198.8639,199.87118,[M-H]-,TRUE,,,,,,1630,[],TRUE,1714,1630,1808,1668,1588,1550,1480,1580,1688,1908,1568,1614,1758
19.4,198.86459,199.87187,[M-H]-,TRUE,,,,,,1484,[],TRUE,0,1452,1440,1570,1526,1650,1408,1484,1650,1486,1510,1462,1090
19.67,199.85062,200.8579,[M-H]-,TRUE,,,,,,2134,[],TRUE,2106,2176,2134,2028,2166,2184,2202,2256,1948,2042,1968,1786,2330
19.89,199.85104,200.85831,[M-H]-,TRUE,,,,,,680,[],TRUE,0,594,846,724,482,612,702,766,640,694,668,696,680
19.82,199.89024,200.89752,[M-H]-,TRUE,,,,,,612,[],TRUE,0,700,790,612,520,602,534,644,620,782,718,592,516
19.37,200.85819,201.86547,[M-H]-,TRUE,,,,,,9830,[],TRUE,10106,10422,11636,8692,11004,9618,0,12020,9682,10000,8270,9830,8052
19.61,200.85878,201.86606,[M-H]-,TRUE,,,,,,13640,[],TRUE,0,13640,13470,12726,12318,14064,12998,13680,13866,14556,13090,13932,13640
19.97,200.8808,201.88808,[M-H]-,TRUE,,,,,,520,[],TRUE,0,398,544,574,476,592,498,482,512,1010,538,520,612
0.83,201.0377,202.04498,[M-H]-,TRUE,,C8H10O6,"SmartFormula - mzdev: -0.0028 mSigma: Infinity, ",20000,,1218,[],TRUE,0,1020,896,1262,986,1498,978,1876,1038,1218,1246,1548,1454
7.32,201.11295,202.12023,[M-H]-,TRUE,,C10H18O4,"SmartFormula - mzdev: -0.0003 mSigma: 8.24, ",20200,,480,[],TRUE,0,368,512,986,480,528,536,1256,368,260,278,1382,410
1.38,201.80197,202.80925,[M-H]-,FALSE,,,,,,414,[],TRUE,0,210,510,1030,428,408,354,728,600,300,392,414,526
18.27,201.90537,202.91265,[M-H]-,TRUE,,,,,,1716,[],TRUE,1596,1592,1926,2256,1490,1898,2062,1418,2346,2118,1716,1712,1600
18.6,201.90592,202.91319,[M-H]-,TRUE,,,,,,1568,[],TRUE,0,1798,1562,1568,1530,1328,1546,1346,1660,1710,1880,1592,2166
18.98,201.90602,202.9133,[M-H]-,TRUE,,,,,,1458,[],TRUE,0,1266,1506,1268,1254,1742,1626,1830,1636,1448,1458,1894,1354
19.19,201.90602,202.9133,[M-H]-,TRUE,,,,,,1304,[],TRUE,0,1160,1504,1118,1810,1286,1304,1756,1216,1478,1386,1440,1190
16.19,201.90617,202.91344,[M-H]-,TRUE,,,,,,1244,[],TRUE,0,1234,1286,1186,1310,1110,1702,1898,1244,1244,1212,1404,1450
19.68,202.88191,203.88918,[M-H]-,FALSE,,,,,,702,[],TRUE,0,1060,1152,616,618,984,594,702,896,774,634,582,788
18.07,202.88202,203.8893,[M-H]-,FALSE,,,,,,456,[],TRUE,0,236,456,470,496,0,456,414,444,712,426,552,480
19.24,202.88206,203.88934,[M-H]-,FALSE,,,,,,740,[],TRUE,0,620,712,718,1050,600,724,874,780,744,892,748,740
18.79,202.88212,203.8894,[M-H]-,FALSE,,,,,,688,[],TRUE,0,688,722,502,550,648,710,674,702,756,644,1062,752
19.47,202.88214,203.88941,[M-H]-,FALSE,,,,,,642,[],TRUE,0,582,642,512,584,740,594,716,792,570,850,762,854
18.98,202.88216,203.88944,[M-H]-,FALSE,,,,,,770,[],TRUE,0,674,894,572,796,648,878,858,868,1084,770,570,736
14.1,205.15896,206.16623,[M-H]-,TRUE,,C14H22O,"SmartFormula - mzdev: -0.0008 mSigma: Infinity, ",20000,,518,[],TRUE,0,402,746,442,428,514,418,774,684,518,548,564,732
19.97,205.83973,170.87035,"[M+Cl]-, [M+COOH]-",TRUE,,,,,,620,[],TRUE,0,634,898,1004,620,640,558,488,680,494,554,640,474
1.34,205.83976,206.84703,[M-H]-,TRUE,,,,,,434,[],TRUE,0,406,392,524,550,362,332,394,850,452,434,486,530
0.69,205.93296,206.94024,[M-H]-,TRUE,,,,,,774,[],TRUE,452,620,374,774,806,622,432,840,1130,900,552,862,984
19.78,206.87388,207.88116,[M-H]-,TRUE,,,,,,962,[],TRUE,1052,970,956,1098,962,962,896,834,1166,870,918,1046,860
0.98,206.97256,207.97983,[M-H]-,TRUE,,,,,,586,[],TRUE,364,504,586,676,728,844,786,480,422,754,652,378,368
0.15,206.97265,207.97992,[M-H]-,TRUE,,,,,,2572,[],TRUE,2085,2404,2355,2664,2815,2627,2537,2685,2572,2581,2486,2543,2588
19.99,207.83616,208.84344,[M-H]-,TRUE,,,,,,592,[],TRUE,0,614,596,504,620,592,538,672,556,458,498,786,600
0.02,207.93122,208.9385,[M-H]-,FALSE,,,,,,428,[],TRUE,350,354,398,448,364,748,428,314,416,456,508,508,608
0.52,207.93124,208.93851,[M-H]-,TRUE,,,,,,708,[],TRUE,560,584,880,708,588,628,1464,950,638,680,1100,856,736
19.85,208.82506,209.83234,[M-H]-,TRUE,,,,,,624,[],TRUE,0,532,558,628,504,624,636,744,652,618,580,700,718
19.8,208.86906,209.87634,[M-H]-,TRUE,,,,,,798,[],TRUE,1048,1024,916,706,684,824,794,874,694,798,646,1046,708
6.3,209.07974,210.08702,[M-H]-,TRUE,,C6H14N2O6,"SmartFormula - mzdev: 0.0018 mSigma: Infinity, ",20000,,528,[],TRUE,268,248,790,518,324,528,874,578,538,342,1254,372,538
9.72,209.1543,210.16158,[M-H]-,TRUE,,C13H22O2,"SmartFormula - mzdev: -0.0001 mSigma: 8.52, ",20200,,976,[],TRUE,796,1028,1008,938,1028,976,1638,1004,982,860,790,778,0
9.72,209.15469,420.32393,[M-H-H]2-,TRUE,,,,,,0,[],TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1176
19.79,209.9185,210.92577,[M-H]-,FALSE,,,,,,1180,[],TRUE,1036,1192,1180,1194,1176,1072,1142,1366,1310,1212,1278,1152,938
19.9,210.82078,211.82806,[M-H]-,TRUE,,,,,,510,[],TRUE,0,558,584,458,470,532,542,372,510,542,420,432,746
7.51,211.09718,212.10445,[M-H]-,TRUE,,C11H16O4,"SmartFormula - mzdev: -0.0005 mSigma: 15.38, ",20100,,620,[],TRUE,336,784,592,674,536,648,620,398,1150,728,470,500,742
19.82,211.91361,212.92089,[M-H]-,TRUE,,,,,,502,[],TRUE,0,734,578,466,434,502,616,500,252,520,520,552,446
8.26,213.01517,214.02244,[M-H]-,TRUE,,C7H6N2O6,"SmartFormula - mzdev: -0.0002 mSigma: 22.24, ",20100,,1144,[],TRUE,0,1382,1032,1604,1394,1144,950,1028,1600,1442,1684,818,424
19.68,214.85935,215.86663,[M-H]-,FALSE,,,,,,616,[],TRUE,0,688,632,594,580,478,656,932,616,666,788,518,572
8.31,215.12755,432.26965,[M-H-H]2-,TRUE,,,,,,0,[],TRUE,346,0,0,810,0,0,0,0,0,0,0,0,0
8.31,215.12858,216.13585,[M-H]-,TRUE,,C11H20O4,"SmartFormula - mzdev: -0.0003 mSigma: 24.36, ",20100,,590,[],TRUE,0,680,428,0,1284,608,420,482,1100,590,622,290,1140
19.88,216.85174,217.85902,[M-H]-,TRUE,,,,,,572,[],TRUE,720,596,694,710,568,530,736,484,572,540,476,632,104
19.69,216.8533,217.86057,[M-H]-,TRUE,,,,,,4350,[],TRUE,3400,4350,3852,4168,4376,4894,4222,4450,4628,4042,4916,4566,3582
19.71,217.85375,218.86103,[M-H]-,TRUE,,,,,,1154,[],TRUE,0,1030,1070,1304,1086,1376,1344,1122,1162,1154,1400,1078,1202
0.03,217.86091,218.86819,[M-H]-,FALSE,,,,,,582,[],TRUE,340,712,504,704,582,550,738,634,524,484,556,728,844
0.79,218.86815,219.87543,[M-H]-,TRUE,,,,,,488,[],TRUE,292,392,442,650,596,594,762,446,482,374,678,488,1106
0.85,218.98273,219.99,[M-H]-,TRUE,,,,,,518,[],TRUE,0,408,660,650,486,518,678,784,616,292,360,442,1120
19.94,219.84513,220.85241,[M-H]-,TRUE,,,,,,1298,[],TRUE,1562,1440,1486,1352,1388,1274,1130,1196,1298,1252,1388,1096,1230
1.37,219.84542,220.8527,[M-H]-,TRUE,,,,,,786,[],TRUE,0,524,934,1038,772,722,828,1232,786,742,926,802,758
19.35,219.87253,220.87981,[M-H]-,FALSE,,,,,,446,[],TRUE,0,402,434,500,498,870,496,446,586,428,436,556,410
19.53,220.84581,221.85309,[M-H]-,FALSE,,,,,,444,[],TRUE,0,386,710,342,534,378,394,588,480,548,390,444,574
8.58,221.02776,222.03504,[M-H]-,TRUE,,,,,,0,[],TRUE,0,168,1874,0,0,114,1348,0,0,0,1160,0,0
