"order","name","rank","1","2","mz_r","Rt_r","RT..min.","m.z.meas.","M.meas.","Ions","MS.MS","Name","Molecular.Formula","Boxplot","feature","M_r"
37,"M281.922T1.36",3847.4375,"281.922","1.36",281.92,1.36,1.36,281.92242,280.91515,"[M+H]+",TRUE,"","",1553.9715,"1654",280.91515
38,"M187.155T1.03",3847.5625,"187.155","1.03",187.16,1.03,1.03,187.1552,186.14792,"[M+H]+",TRUE,"","C8H18N4O",2483.783808,"2859",186.14792
39,"M307.091T4.47",3847.973214,"307.091","4.47",307.09,4.47,4.47,307.09123,306.08395,"[M+H]+",TRUE,"","",2213.964864,"2558",306.08395
40,"M309.012T4.29",3849.383929,"309.012","4.29",309.01,4.29,4.29,309.01152,308.00424,"[M+H]+",FALSE,"","C15H4N2O6",1358.18816,"1325",308.00424
41,"M746.529T18.77",4191.080357,"746.529","18.77",746.53,18.77,18.77,746.52897,1491.04338,"[M+H+H]2+",TRUE,"","",11187.1879,"4943",1491.04338
42,"M540.19T5.06",4192.696429,"540.19","5.06",540.19,5.06,5.06,540.18984,539.18257,"[M+H]+",TRUE,"","",1174.164672,"1027",539.18257
43,"M529.28T10.04",4193.321429,"529.28","10.04",529.28,10.04,10.04,529.27984,528.27256,"[M+H]+",TRUE,"","C30H40O8",245.484124,"292",528.27256
44,"M326.196T4",4195.383929,"326.196","4",326.2,4,4,326.19612,325.18885,"[M+H]+",TRUE,"","C17H27NO5",93754.7425,"5526",325.18885
45,"M347.85T1.16",4196.285714,"347.85","1.16",347.85,1.16,1.16,347.84955,346.84228,"[M+H]+",TRUE,"","",3514.59966,"3613",346.84228
46,"M323.128T6.25",4196.357143,"323.128","6.25",323.13,6.25,6.25,323.1278,322.12053,"[M+H]+",TRUE,"","C20H18O4",1331.288,"1290",322.12053
47,"M152.057T0.7",4196.75,"152.057","0.7",152.06,0.7,0.7,152.05654,151.04927,"[M+H]+",TRUE,"","",4289.630976,"3917",151.04927
48,"M660.25T3.11",4539.366071,"660.25","3.11",660.25,3.11,3.11,660.24999,659.24271,"[M+H]+",TRUE,"","C29H41NO16",1264.631296,"1176",659.24271
49,"M138.091T0.7",4540.205357,"138.091","0.7",138.09,0.7,0.7,138.09128,137.084,"[M+H]+",TRUE,"","C8H11NO",2655.178004,"3029",137.084
50,"M501.675T8.11",4540.625,"501.675","8.11",501.68,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"M326.708T4.01",4541.544643,"326.708","4.01",326.71,4.01,4.01,326.70791,325.70064,"[M+H]+",FALSE,"","",211.398528,"281",325.70064
52,"M335.941T1.51",4541.839286,"335.941","1.51",335.94,1.51,1.51,335.94115,334.93388,"[M+H]+",TRUE,"","",669.943296,"503",334.93388
53,"M269.102T4.26",4542.6875,"269.102","4.26",269.1,4.26,4.26,269.10194,268.09466,"[M+H]+",TRUE,"","C13H16O6",2107.8875,"2433",268.09466
