"feature","hatching","pvalue"
"hatching",1,0
"242",0.348755138662774,1.57341164737148e-10
"433",0.247879442500955,0.00608249945933478
"917",0.242858829160523,0.000140980289801487
"869",0.231918935694738,9.42845122827666e-07
"1310",0.22879209959136,3.87359641839117e-05
"802",0.227399441092742,0.00262046314136724
"724",0.226948578284292,3.98236446882606e-07
"6134",0.225676132218958,0.00687565582470322
"5905",0.223884350619435,0.00635536748265547
"854",0.219847397973301,3.65931126067241e-06
"223",0.210676479839791,0.00204719521013563
"517",0.205022681985408,0.000308625207001691
"849",0.2047099089442,2.69795054803675e-05
"2823",0.199238351750267,0.0292553373244727
"693",0.198693027476035,3.0509632818226e-08
"1279",0.197748072856157,0.0129072643700144
"666",0.197302299510527,0.00216394432495652
"567",0.195311353213427,0.00969047412278864
"2341",0.192650059734034,0.0464528749583097
"543",0.192649234206018,0.0251128918650283
"2866",0.190381932776476,0.00294985618857979
"1007",0.189574276906862,0.0223920756786119
"450",0.187580369271902,1.44859354183871e-06
"2976",0.187246929685204,0.0256436097178847
"753",0.186220517172494,0.000190381927765995
"705",0.185778763506549,2.4449911907619e-05
"435",0.185480866407786,2.74147182595094e-06
"3423",0.183971333426107,0.00184759346046477
"475",0.182472631440803,1.59456835650565e-05
"10",0.182021695142613,5.06277820531583e-07
"622",0.181805633245748,0.0138849357156673
"2979",0.181531606611903,0.0099857788535168
"2665",0.181387313881251,0.00551692151576217
"4275",0.180009882109738,0.0219401760331467
"3670",0.17995637490374,0.0225577336276449
"3611",0.17934883606823,0.00639219898363297
"3238",0.179329708971413,0.0132469038901898
"2985",0.177952942857837,0.00468063414750588
"4262",0.17762763676075,0.00765747544155785
"3242",0.177462045056257,0.00196671050584002
"4629",0.177389278739534,0.0067720584228546
"446",0.177036196732573,2.42666903503301e-05
"3844",0.176269040722526,0.000819201578040917
"3456",0.176195440584992,0.000791279562660054
"2959",0.176127663996915,0.00641479961019331
"3023",0.175339840072786,0.00525755223948568
"3419",0.175010540899489,0.00898402802199265
"914",0.175008675295212,0.000404136953100011
"3851",0.174918285036021,0.00160152087532936
"6257",0.174135100671002,0.0179132682954567
"3226",0.173967111071176,0.0343042658923857
"4271",0.173396228448497,0.000567691911505908
"3866",0.173195917974098,0.000721047440583229
"3588",0.172703374592218,0.0241791857168714
"3410",0.171418278470981,0.00155944309974747
"3746",0.169966772070678,0.0003045866704578
"6135",0.169486470051041,0.00051191604383911
"4894",0.168947805416732,8.35955809712061e-05
"3",0.168635446893431,0.000792446700578406
"2709",0.168097812998844,0.0127819656100707
"6208",0.167607270717297,0.0472915055276702
"3236",0.167394863170639,0.0349130699408688
"6446",0.167131375371081,0.00717349295428938
"3458",0.16708445793262,0.0115552014478929
"4551",0.167082953497293,0.000117013150398898
"5201",0.165862778838664,0.000218096789597052
"4561",0.165707445567339,0.000578607758004286
"362",0.165658688681668,6.44654703131348e-05
"5274",0.165486568474313,0.0472559482400616
"210",0.165199270972562,0.000214896782119696
"522",0.164187412774075,5.78605986472644e-07
"336",0.163847197534693,0.00116615548352351
"4626",0.163820641536723,0.000364735836488699
"1363",0.163618466018473,6.28317523375856e-05
"189",0.163530362983917,0.000163376109953373
"2863",0.162590624651067,0.00139927048843754
"6033",0.162125006963733,0.00707081105593061
"492",0.161897901743462,0.0302533417837811
"635",0.161656454598404,0.0241990848877171
"2310",0.161623831057928,0.00555225788119553
"3814",0.161172596516465,0.00433776840026634
"4974",0.16015527301278,1.57542269504237e-05
"4619",0.159956973248001,0.000352810672914405
"4526",0.159489914778135,0.000200915756367912
"398",0.159422317294998,9.84830933066931e-06
"2990",0.159272346987806,0.000990697139630826
"4959",0.158421582717321,0.00029795092821654
"191",0.158074729875326,0.0114060854524324
"338",0.157482248171801,4.40353817154504e-06
"3014",0.157296484386451,0.0323950743752648
"345",0.156935869461842,0.0376056125154951
"619",0.155745553326926,1.57724016613319e-06
"3677",0.155688385986009,0.00250601829531616
"3468",0.155672794683021,0.000218123271503401
"2461",0.155168333233513,0.00711527191800885
"1239",0.154917554191902,5.99360907835345e-05
"4967",0.154880248382743,0.000898936351048702
"6011",0.154449297187954,0.000201465849357786
"4902",0.154207974800401,5.01298576021576e-05
"5755",0.153479552618225,0.013982987746439
"6223",0.153135618700298,7.41038735022689e-05
"3732",0.153042532276051,0.000256995017559247
"1497",0.152604948956328,0.00562059220487836
"80",0.152390127586573,3.33951257003073e-05
"4925",0.152089017478973,3.03953078612465e-05
"5895",0.152041205838333,0.00882352289147738
"4043",0.151983604181598,0.0040226050775461
"769",0.151525814108839,0.00142802037538671
"4880",0.150579779475494,5.85862558876946e-05
"725",0.150574509373235,1.735644247755e-06
"2289",0.150547728577003,0.0226233659609891
"2298",0.150111653285196,0.0190095626914566
"15",0.150043456798706,0.00896596389549123
"4886",0.149499061269738,4.84947807516848e-05
"4279",0.149317038766614,0.00037052203992977
"505",0.149303812909042,0.00108732905482088
"5240",0.149116039499727,0.000316216258292014
"3376",0.148969198313545,0.0427493124646474
"3230",0.148859474463066,0.0285411412226246
"1219",0.148688805360156,0.0122153903744134
"6027",0.148487710406128,0.00191525199436732
"6169",0.148310048322294,0.0175251342696626
"6126",0.14808825670912,5.33369232045586e-06
"4530",0.148004727997897,8.21737078658243e-05
"3594",0.1475329657644,0.0286100651737899
"510",0.147308312092767,0.000294690805092429
"3282",0.146958774221149,0.000402230172955737
"444",0.146655187873826,0.00558324772332897
"3549",0.146036127838436,0.000601694029036048
"239",0.145575028774514,3.82706907941348e-05
"5655",0.144861059794494,0.00615106302647144
"4045",0.144320664918607,0.018257386319415
"4266",0.143877735210637,0.000393553731619894
"3860",0.143637578558585,0.000500264392613129
"5740",0.143418485083786,0.0147147720023899
"439",0.143380822652109,0.000756427189200172
"5169",0.143058105332397,3.598900435568e-05
"5796",0.142994392825799,4.85847730599377e-05
"4162",0.142796983218409,0.000388957533477065
"1407",0.142598838707837,2.14594538923687e-05
"4281",0.141154003604161,0.000337061204509035
"623",0.140877074433959,0.0300974805344828
"1093",0.140722168126658,0.0114188967687129
"5178",0.140603627461416,2.37069493617137e-05
"5902",0.140501693291163,0.0431789100916132
"1067",0.140216896334191,0.00228393784113172
"4797",0.140139808497504,0.00742399792564951
"6382",0.139802137887008,9.77191538920857e-05
"3461",0.139655024326987,0.00899985913417902
"576",0.139428198367578,2.7651063738942e-06
"2005",0.139337620156959,0.00042963588802877
"2328",0.13920318003915,0.00573145113294161
"3907",0.139185032816256,0.00266608851603148
"5641",0.139078302653605,7.9485453875583e-05
"4572",0.138889793138056,0.0319194979254088
"5989",0.138708145944202,0.0002774798924267
"3291",0.138642372149229,0.0445109892111438
"2195",0.138577717044087,0.0317336964820142
"4969",0.138241605484017,0.000144450091788076
"582",0.137956002434835,3.2149423631225e-05
"3591",0.137766655101646,0.00589972696295481
"703",0.137759640308181,4.48420758200721e-05
"2362",0.137666873427989,0.00315774447152674
"3966",0.137593499578769,0.00338628787412295
"2853",0.137078060099557,0.000294471919915862
"4607",0.136810484257133,0.000269878985078486
"2798",0.136672243304259,0.0410237123247584
"4979",0.136559047366928,8.95315210013282e-05
"3303",0.136289261276452,0.000338300246905461
"4631",0.136063526736485,0.000187346250198674
"339",0.135640000211136,0.0132682285572129
"3025",0.135374336342909,0.0350696230294998
"4383",0.135315938409439,0.00170763228651459
"2243",0.135075308838775,0.00155118127815875
"5699",0.134902285426346,0.00221234320499454
"3377",0.1347400666219,0.0205026307247641
"457",0.134570051280436,0.000227095886787969
"6226",0.134357025307178,7.38707277438449e-05
"2108",0.134295896143414,0.000547459278825874
"4181",0.134225857019509,0.000176937686278463
"1412",0.1342044593459,1.82446656664974e-05
"5998",0.134023497724549,0.000219232043840957
"6290",0.133981231104212,0.00722600027626851
"5252",0.133824270643063,1.84950242541101e-05
"6493",0.133813802824819,0.0214935180016803
"4361",0.133709471155415,0.00379972682815123
"4636",0.133519348606718,0.000160636382586188
"3628",0.133490585650003,0.00128936269559744
"5436",0.133422894881628,1.16529133961614e-05
"797",0.133404723442348,1.80824148601894e-05
"365",0.133395119114073,0.00109749161093593
"3516",0.13327580869184,0.0403102052206622
"2088",0.133160468511527,0.003335475942651
"559",0.133126322563054,4.5992558943613e-05
"5420",0.133081235147303,2.43751496992703e-05
"2386",0.132895832603105,0.000475774688704856
"5191",0.132753420579911,1.98358195076968e-05
"6167",0.132566579368749,0.0265567762405521
"756",0.132167557315457,0.0010425650439546
"467",0.13203175662585,2.84431646448348e-05
"4706",0.132006804248397,0.000237778333702668
"3293",0.131840635093496,0.000295138585362497
"2735",0.131805596476836,0.00957842119662292
"5899",0.131481332466282,0.00270793028960913
"4973",0.131403397637258,0.000117759501715486
"41",0.131317135043379,0.0174445638701266
"5485",0.131203689323034,9.97974819108762e-05
"5651",0.130918899840835,1.64622292865642e-05
"1568",0.130322527786992,0.00234289934527166
"6400",0.130117294306641,2.33273189897479e-05
"4802",0.130080075201169,6.28849281194203e-05
"2685",0.129991861270654,0.000294541258496827
"1957",0.129694537912407,0.00180397284513208
"488",0.129327319657564,0.0182387643465398
"2946",0.129282588223773,0.0268535146323651
"2837",0.129234721234702,0.00170579499372522
"2730",0.129183931793551,0.00169322379204908
"5636",0.129163558928816,8.4613967291004e-05
"6070",0.128977746091487,0.0471596129852362
"3454",0.128787991286717,0.0115064857458584
"3741",0.128707463230647,0.0189457450428226
"3737",0.128636967546198,0.0405811103308545
"5446",0.128620303213243,8.2586686556861e-06
"2879",0.12831996407751,1.55164293733565e-05
