"order","name","rank","1","2","mz_r","Rt_r","RT..min.","m.z.meas.","M.meas.","Ions","MS.MS","Name","Molecular.Formula","Boxplot","feature","M_r"
38,"M315.054T9.54",1168.75,"315.054","9.54",315.05,9.54,9.54,315.05415,316.06143,"[M-H]-",TRUE,"","C10H12N4O8",1123,"1322",316.06143
39,"M667.265T10.2",1169.714286,"667.265","10.2",667.26,10.2,10.2,667.26485,668.27212,"[M-H]-",TRUE,"","C50H36O2",700.5868688,"509",668.27212
40,"M561.234T8.89",1171.702381,"561.234","8.89",561.23,8.89,8.89,561.23386,562.24113,"[M-H]-",TRUE,"","",830.2112767,"736",562.24113
41,"M233.028T9.19",1239.041667,"233.028","9.19",233.03,9.19,9.19,233.0279,234.03518,"[M-H]-",TRUE,"","C8H10O8",1139,"1351",234.03518
42,"M309.134T7.81",1241.029762,"309.134","7.81",309.13,7.81,7.81,309.13438,310.14166,"[M-H]-",TRUE,"","C11H22N2O8",1628,"1821",310.14166
43,"M204.124T4.77",1241.083333,"204.124","4.77",204.12,4.77,4.77,204.12409,205.13137,"[M-H]-",TRUE,"","C9H19NO4",829.2592734,"734",205.13137
44,"M377.273T15.9",1241.214286,"377.273","15.9",377.27,15.9,15.9,377.27299,378.28026,"[M-H]-",TRUE,"","",1681,"1849",378.28026
45,"M215.129T9.3",1241.345238,"215.129","9.3",215.13,9.3,9.3,215.12897,216.13625,"[M-H]-",TRUE,"","C11H20O4",843.4076993,"760",216.13625
46,"M389.161T7.84",1241.392857,"389.161","7.84",389.16,7.84,7.84,389.16079,390.16807,"[M-H]-",TRUE,"","C16H26N2O9",1630.334151,"1823",390.16807
47,"M681.281T10.25",1241.732143,"681.281","10.25",681.28,10.25,10.25,681.28098,682.28826,"[M-H]-",TRUE,"","",810.1651284,"694",682.28826
48,"M387.11T7.69",1242.125,"387.11","7.69",387.11,7.69,7.69,387.11004,388.11732,"[M-H]-",TRUE,"","C20H20O8",690.7033878,"489",388.11732
49,"M134.895T18.51",1309.297619,"134.895","18.51",134.9,18.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"M313.111T9.66",1310.02381,"313.111","9.66",313.11,9.66,9.66,313.11137,314.11864,"[M-H]-",TRUE,"","C11H22O10",1824.833126,"1888",314.11864
51,"M307.083T9.33",1310.125,"307.083","9.33",307.08,9.33,9.33,307.08264,308.08992,"[M-H]-",TRUE,"","C16H12N4O3",1790.557348,"1880",308.08992
52,"M294.065T10.78",1311.25,"294.065","10.78",294.06,10.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"M297.116T10.63",1312.392857,"297.116","10.63",297.12,10.63,10.63,297.11634,298.12362,"[M-H]-",TRUE,"","C11H22O9",750.6923174,"582",298.12362
